query_locus,target_locus,overlap_types,overlap_type_count
L9,L9,"A,D",2
L90,L90,G,1
L900,L900,"B,C,D,G,H",5
L901,L901,"C,D,G",3
L902,L902,"C,D,G",3
L903,L903,"A,C,D,G",4
L904,L904,"B,C,D,G",4
L905,L905,"C,D,G,H",4
L906,L906,"C,D,G",3
L909,L909,"C,D,H",3
L91,L91,"A,C,D,G,H",5
L910,L910,"A,C,D",3
L911,L911,"C,D,G,H",4
L912,L912,"C,D,G",3
L913,L913,"B,C,D,G",4
L914,L914,"A,C,D,G,H",5
L915,L915,"A,C,D,G",4
L916,L916,"C,D,G,H",4
L917,L917,"A,C,D,G,H",5
L919,L919,"C,D",2
L92,L92,"A,G,H",3
L920,L920,"B,C,D,G,H",5
L921,L921,"C,D,G,H",4
L922,L922,"A,C,D,G",4
L923,L923,"A,C,D,G",4
L924,L924,"A,C,D,G,H",5
L925,L925,"A,G",2
L926,L926,"A,C,D,G,H",5
L927,L927,"A,C,D,G,H",5
L928,L928,"A,C,D,G,H",5
L929,L929,"A,C,D,G",4
L93,L93,"B,D,G",3
L930,L930,"C,D,G",3
L931,L931,"B,C,D,G",4
L932,L932,"C,D,H",3
L933,L933,"B,C,D,G,H",5
L934,L934,"A,B,G",3
L935,L935,"A,C,D,G",4
L936,L936,"A,C,D,G",4
L937,L937,"A,B,C,D,G,H",6
L938,L938,"B,G,H",3
L939,L939,"A,B,C,D,G",5
L94,L94,"A,C,D,G",4
L940,L940,"A,C,D,G",4
L941,L941,"A,C,D,G,H",5
L942,L942,"A,C,D,G,H",5
L943,L943,"C,D",2
L945,L945,"C,D,H",3
L946,L946,"C,D",2
L947,L947,"A,C,D,G",4
L948,L948,"B,G",2
L949,L949,G,1
L950,L950,"C,D,G",3
L951,L951,"C,D,G,H",4
L952,L952,"B,C,D,G,H",5
L953,L953,"A,G,H",3
L954,L954,"A,C,D,G",4
L955,L955,"B,C,D,G,H",5
L956,L956,"C,D",2
L957,L957,"C,D,G,H",4
L958,L958,"A,G",2
L959,L959,"C,D,G",3
L96,L96,"C,D,G",3
L960,L960,"A,C,D,G,H",5
L961,L961,"C,D",2
L962,L962,"C,D",2
L963,L963,"D,G",2
L964,L964,"A,C,D,G,H",5
L965,L965,"C,D,G",3
L966,L966,"G,H",2
L967,L967,"A,C,D,G,H",5
L969,L969,"C,D",2
L97,L97,"C,D,G",3
L970,L970,"B,C,D,G",4
L971,L971,"A,C,D,G",4
L972,L972,"A,C,D,G",4
L973,L973,"C,D,G",3
L974,L974,"A,G",2
L975,L975,"C,D,H",3
L976,L976,"A,C,D,G",4
L978,L978,"C,D,H",3
L979,L979,"A,C,D,G",4
L98,L98,"A,C,D,G,H",5
L980,L980,"C,D,G,H",4
L983,L983,"C,D,G,H",4
L984,L984,"B,C,D,G",4
L985,L985,"C,D,G,H",4
L986,L986,"B,C,D,G",4
L987,L987,"D,G,H",3
L988,L988,"A,G",2
L989,L989,"A,C,D,G",4
L99,L99,"C,D,G",3
L990,L990,"A,B,C,D,G",5
L991,L991,"C,D",2
L992,L992,"C,D,G",3
L993,L993,"A,C,D,G",4
L994,L994,"C,D,G",3
L995,L995,"A,C,D,G,H",5
L996,L996,"C,D,G",3
L997,L997,"C,D",2
L998,L998,"A,C,D,G",4
L999,L999,"C,D",2
