contamination,query_genus,target_genus,query_seq,I# query,target_seq,I# target,%similarity,length of match (bp),mismatch,gapopen, qstart ,qend ,qlength,tstart ,tend ,tlength,evalue,note
,Aiolomorphus,Tetramesa,L189_MERG00161_0101_SUPERCONTIG,I21923,L189_MERG00169_0101_SUPERCONTIG,I21916,95.72,724,29,1,1,724,771,220,941,942,0.0,99.276
,Zeala,Omphalodipara,L189_MERG00269_0101_SUPERCONTIG,I27457,L189_MERG00268_0101_SUPERCONTIG,I28973,95.78,735,29,2,4,738,738,362,1094,1518,0.0,99.265
,Aeschylia,Brachyscelidiphaga,L189_MERG00310_0101_SUPERCONTIG,I26443,L189_MERG00314_0101_SUPERCONTIG,I27454,98.34,602,9,1,294,895,1153,1,601,601,0.0,99.398
,Brachyscelidiphaga,Aeschylia,L189_MERG00314_0101_SUPERCONTIG,I27454,L189_MERG00310_0101_SUPERCONTIG,I26443,98.34,602,9,1,1,601,601,294,895,1153,0.0,99.398
,Clytina,Euperilampus,L189_MERG00356_0101_SUPERCONTIG,I21713,L189_MERG00216_0101_SUPERCONTIG,I21688,100.00,346,0,0,1,346,346,501,846,1325,0.0,99.654
,Orasema,Psilocharis,L18_MERG00108_0101_SUPERCONTIG,I21723,L18_MERG00102_0101_SUPERCONTIG,I12648,95.27,275,13,0,557,831,1498,162,436,932,1.00E-123,99.725
,Trisecodes,Parastethynium,L18_MERG00130_0101_SUPERCONTIG,I28963,L18_MERG00204_0101_SUPERCONTIG,I28971,99.65,283,1,0,1,283,283,26,308,591,7.00E-149,99.717
,Eurytoma,Masneroma,L18_MERG00165_0101_SUPERCONTIG,I8160,L18_MERG00166_0101_SUPERCONTIG,I24015,98.00,549,11,0,1,549,632,251,799,799,0.0,99.451
,Tetramesa,Aiolomorphus,L18_MERG00169_0101_SUPERCONTIG,I21916,L18_MERG00161_0101_SUPERCONTIG,I21923,95.08,874,41,1,1,872,874,101,974,1035,0.0,99.126
,Lelapsomorpha,Coelocyba,L18_MERG00260_0101_SUPERCONTIG,I23212,L18_MERG00258_0101_SUPERCONTIG,I24020,95.55,247,10,1,947,1192,1211,590,836,851,6.00E-111,99.753
,Aeschylia,Brachyscelidiphaga,L18_MERG00310_0101_SUPERCONTIG,I26443,L18_MERG00314_0101_SUPERCONTIG,I27454,98.59,779,11,0,53,831,1051,1,779,779,0.0,99.221
,Brachyscelidiphaga,Aeschylia,L18_MERG00314_0101_SUPERCONTIG,I27454,L18_MERG00310_0101_SUPERCONTIG,I26443,98.59,779,11,0,1,779,779,53,831,1051,0.0,99.221
,Aeschylia,Brachyscelidiphaga,L190_MERG00310_0101_SUPERCONTIG,I26443,L190_MERG00314_0101_SUPERCONTIG,I27454,99.15,1054,9,0,336,1389,1572,1,1054,1054,0.0,98.946
,Brachyscelidiphaga,Aeschylia,L190_MERG00314_0101_SUPERCONTIG,I27454,L190_MERG00310_0101_SUPERCONTIG,I26443,99.15,1054,9,0,1,1054,1054,336,1389,1572,0.0,98.946
,Neotriadomerus,Adontomerus,L191_MERG00202_0101_SUPERCONTIG,I28997,L191_MERG00375_0101_SUPERCONTIG,I29034,95.25,400,19,0,1,400,405,403,802,1168,0.0,99.6
,Aeschylia,Brachyscelidiphaga,L191_MERG00310_0101_SUPERCONTIG,I26443,L191_MERG00314_0101_SUPERCONTIG,I27454,99.25,804,6,0,89,892,1239,1,804,804,0.0,99.196
,Brachyscelidiphaga,Aeschylia,L191_MERG00314_0101_SUPERCONTIG,I27454,L191_MERG00310_0101_SUPERCONTIG,I26443,99.25,804,6,0,1,804,804,89,892,1239,0.0,99.196
,Neapterolelaps,Liepara,L192_MERG00272_0101_SUPERCONTIG,I24023,L192_MERG00296_0101_SUPERCONTIG,I24025,100.00,553,0,0,15,567,747,1,553,553,0.0,99.447
,Liepara,Neapterolelaps,L192_MERG00296_0101_SUPERCONTIG,I24025,L192_MERG00272_0101_SUPERCONTIG,I24023,100.00,553,0,0,1,553,553,15,567,747,0.0,99.447
,Aeschylia,Brachyscelidiphaga,L192_MERG00310_0101_SUPERCONTIG,I26443,L192_MERG00314_0101_SUPERCONTIG,I27454,98.85,694,8,0,249,942,1119,1,694,694,0.0,99.306
,Brachyscelidiphaga,Aeschylia,L192_MERG00314_0101_SUPERCONTIG,I27454,L192_MERG00310_0101_SUPERCONTIG,I26443,98.85,694,8,0,1,694,694,249,942,1119,0.0,99.306
,Colocharis,Kapala,L193_MERG00097_0101_SUPERCONTIG,I12647,L193_MERG00099_0101_SUPERCONTIG,I12623,95.12,901,44,0,60,960,1458,25,925,925,0.0,99.099
,Kapala,Colocharis,L193_MERG00099_0101_SUPERCONTIG,I12623,L193_MERG00097_0101_SUPERCONTIG,I12647,95.12,901,44,0,25,925,925,60,960,1458,0.0,99.099
,Aiolomorphus,Tetramesa,L193_MERG00161_0101_SUPERCONTIG,I21923,L193_MERG00169_0101_SUPERCONTIG,I21916,95.79,642,21,3,80,721,738,324,959,959,0.0,99.358
,Eurytoma,Masneroma,L193_MERG00165_0101_SUPERCONTIG,I8160,L193_MERG00166_0101_SUPERCONTIG,I24015,95.49,687,27,3,48,731,757,137,822,822,0.0,99.313
,Masneroma,Eurytoma,L193_MERG00166_0101_SUPERCONTIG,I24015,L193_MERG00165_0101_SUPERCONTIG,I8160,95.49,687,27,3,137,822,822,48,731,757,0.0,99.313
,Tetramesa,Aiolomorphus,L193_MERG00169_0101_SUPERCONTIG,I21916,L193_MERG00161_0101_SUPERCONTIG,I21923,95.79,642,21,3,324,959,959,80,721,738,0.0,99.358
,Perilampus,Steffanolampus,L193_MERG00220_0101_SUPERCONTIG,I12630,L193_MERG00221_0101_SUPERCONTIG,I16359,97.52,363,9,0,1,363,363,606,968,1407,8.00E-180,99.637
,Aditrochus,Plastobelyta,L193_MERG00309_0101_SUPERCONTIG,I21665,L193_MERG00319_0101_SUPERCONTIG,I27434,95.19,624,29,1,295,918,1075,115,737,843,0.0,99.376
,Aeschylia,Brachyscelidiphaga,L193_MERG00310_0101_SUPERCONTIG,I26443,L193_MERG00314_0101_SUPERCONTIG,I27454,99.77,863,2,0,5,867,978,1,863,863,0.0,99.137
,Brachyscelidiphaga,Aeschylia,L193_MERG00314_0101_SUPERCONTIG,I27454,L193_MERG00310_0101_SUPERCONTIG,I26443,99.77,863,2,0,1,863,863,5,867,978,0.0,99.137
,Plastobelyta,Aditrochus,L193_MERG00319_0101_SUPERCONTIG,I27434,L193_MERG00309_0101_SUPERCONTIG,I21665,95.19,624,29,1,115,737,843,295,918,1075,0.0,99.376
,Colocharis,Kapala,L194_MERG00097_0101_SUPERCONTIG,I12647,L194_MERG00099_0101_SUPERCONTIG,I12623,98.70,77,1,0,980,1056,1056,567,643,1272,8.00E-34,99.923
,Kapala,Colocharis,L194_MERG00099_0101_SUPERCONTIG,I12623,L194_MERG00097_0101_SUPERCONTIG,I12647,98.70,77,1,0,567,643,1272,980,1056,1056,9.00E-34,99.923
,Aiolomorphus,Tetramesa,L194_MERG00161_0101_SUPERCONTIG,I21923,L194_MERG00169_0101_SUPERCONTIG,I21916,96.42,809,26,1,84,889,980,4,812,812,0.0,99.191
,Tetramesa,Aiolomorphus,L194_MERG00169_0101_SUPERCONTIG,I21916,L194_MERG00161_0101_SUPERCONTIG,I21923,96.42,809,26,1,4,812,812,84,889,980,0.0,99.191
,Aeschylia,Brachyscelidiphaga,L194_MERG00310_0101_SUPERCONTIG,I26443,L194_MERG00314_0101_SUPERCONTIG,I27454,97.51,683,7,3,249,929,1066,1,675,675,0.0,99.317
,Brachyscelidiphaga,Aeschylia,L194_MERG00314_0101_SUPERCONTIG,I27454,L194_MERG00310_0101_SUPERCONTIG,I26443,97.51,683,7,3,1,675,675,249,929,1066,0.0,99.317
,Pteroptrix,Zealoromma,L195_MERG00050_0101_SUPERCONTIG,I27438,L195_MERG00417_0101_SUPERCONTIG,I27404,99.68,313,1,0,225,537,625,1,313,313,4.00E-165,99.687
,Colocharis,Kapala,L195_MERG00097_0101_SUPERCONTIG,I12647,L195_MERG00099_0101_SUPERCONTIG,I12623,98.78,82,1,0,1083,1164,1164,757,676,1416,2.00E-36,99.918
,Aeschylia,Brachyscelidiphaga,L195_MERG00310_0101_SUPERCONTIG,I26443,L195_MERG00314_0101_SUPERCONTIG,I27454,99.06,848,8,0,151,998,1227,1,848,848,0.0,99.152
,Brachyscelidiphaga,Aeschylia,L195_MERG00314_0101_SUPERCONTIG,I27454,L195_MERG00310_0101_SUPERCONTIG,I26443,99.06,848,8,0,1,848,848,151,998,1227,0.0,99.152
,Tanaostigma,Tanaostigmodes,L195_MERG00362_0101_SUPERCONTIG,I8171,L195_MERG00363_0101_SUPERCONTIG,I23223,99.68,949,3,0,1,949,949,94,1042,1164,0.0,99.051
,Tanaostigmodes,Tanaostigma,L195_MERG00363_0101_SUPERCONTIG,I23223,L195_MERG00362_0101_SUPERCONTIG,I8171,99.68,949,3,0,94,1042,1164,1,949,949,0.0,99.051
,Zealoromma,Pteroptrix,L195_MERG00417_0101_SUPERCONTIG,I27404,L195_MERG00050_0101_SUPERCONTIG,I27438,99.68,313,1,0,1,313,313,225,537,625,2.00E-165,99.687
,Neochalcis,Haltichella,L196_MERG00072_0101_SUPERCONTIG,I23981,L196_MERG00068_0101_SUPERCONTIG,I23218,96.00,75,3,0,2,76,572,574,648,1182,1.00E-29,99.925
,Tetramesa,Aiolomorphus,L196_MERG00169_0101_SUPERCONTIG,I21916,L196_MERG00161_0101_SUPERCONTIG,I21923,96.50,600,20,1,1,599,599,114,713,975,0.0,99.4
,Afroneodipara,Rotoita,L196_MERG00307_0101_SUPERCONTIG,I27401,L196_MERG00354_0101_SUPERCONTIG,I27368,100.00,336,0,0,1,336,336,339,674,684,5.00E-180,99.664
,Aeschylia,Brachyscelidiphaga,L196_MERG00310_0101_SUPERCONTIG,I26443,L196_MERG00314_0101_SUPERCONTIG,I27454,99.22,770,6,0,140,909,1036,1,770,770,0.0,99.23
,Brachyscelidiphaga,Aeschylia,L196_MERG00314_0101_SUPERCONTIG,I27454,L196_MERG00310_0101_SUPERCONTIG,I26443,99.22,770,6,0,1,770,770,140,909,1036,0.0,99.23
,Rotoita,Afroneodipara,L196_MERG00354_0101_SUPERCONTIG,I27368,L196_MERG00307_0101_SUPERCONTIG,I27401,100.00,336,0,0,339,674,684,1,336,336,1.00E-179,99.664
,Tanaostigma,Tanaostigmodes,L196_MERG00362_0101_SUPERCONTIG,I8171,L196_MERG00363_0101_SUPERCONTIG,I23223,99.14,810,7,0,1,810,810,27,836,1218,0.0,99.19
,Tanaostigmodes,Tanaostigma,L196_MERG00363_0101_SUPERCONTIG,I23223,L196_MERG00362_0101_SUPERCONTIG,I8171,99.14,810,7,0,27,836,1218,1,810,810,0.0,99.19
,Colocharis,Kapala,L197_MERG00097_0101_SUPERCONTIG,I12647,L197_MERG00099_0101_SUPERCONTIG,I12623,96.16,807,30,1,1,807,807,11,816,1458,0.0,99.193
,Kapala,Colocharis,L197_MERG00099_0101_SUPERCONTIG,I12623,L197_MERG00097_0101_SUPERCONTIG,I12647,96.16,807,30,1,11,816,1458,1,807,807,0.0,99.193
,Krombeinius,Steffanolampus,L197_MERG00222_0101_SUPERCONTIG,I24018,L197_MERG00221_0101_SUPERCONTIG,I16359,95.97,124,5,0,1,124,127,574,697,1130,3.00E-54,99.876
,Aeschylia,Brachyscelidiphaga,L197_MERG00310_0101_SUPERCONTIG,I26443,L197_MERG00314_0101_SUPERCONTIG,I27454,98.81,670,8,0,114,783,897,1,670,670,0.0,99.33
,Brachyscelidiphaga,Aeschylia,L197_MERG00314_0101_SUPERCONTIG,I27454,L197_MERG00310_0101_SUPERCONTIG,I26443,98.81,670,8,0,1,670,670,114,783,897,0.0,99.33
,Promuscidea,Solenura,L198_MERG00091_0101_SUPERCONTIG,I27405,L198_MERG00255_0101_SUPERCONTIG,I27397,100.00,319,0,0,1,319,319,314,632,633,1.00E-170,99.681
,Colocharis,Kapala,L198_MERG00097_0101_SUPERCONTIG,I12647,L198_MERG00099_0101_SUPERCONTIG,I12623,95.12,164,8,0,1,164,164,579,742,774,2.00E-71,99.836
,Aeschylia,Brachyscelidiphaga,L198_MERG00310_0101_SUPERCONTIG,I26443,L198_MERG00314_0101_SUPERCONTIG,I27454,99.23,646,5,0,254,899,1127,1,646,646,0.0,99.354
,Brachyscelidiphaga,Aeschylia,L198_MERG00314_0101_SUPERCONTIG,I27454,L198_MERG00310_0101_SUPERCONTIG,I26443,99.23,646,5,0,1,646,646,254,899,1127,0.0,99.354
,Eretmocerus,Neolosbanus,L199_MERG00051_0101_SUPERCONTIG,I8131,L199_MERG00100_0101_SUPERCONTIG,I8140,99.18,485,4,0,1,485,485,233,717,871,0.0,99.515
,Colocharis,Kapala,L199_MERG00097_0101_SUPERCONTIG,I12647,L199_MERG00099_0101_SUPERCONTIG,I12623,97.56,82,1,1,462,542,1152,1,82,1086,3.00E-34,99.918
,Colocharis,Kapala,L199_MERG00097_0101_SUPERCONTIG,I12647,L199_MERG00099_0101_SUPERCONTIG,I12623,98.70,77,1,0,1,77,1152,347,423,1086,1.00E-33,99.923
,Kapala,Colocharis,L199_MERG00099_0101_SUPERCONTIG,I12623,L199_MERG00097_0101_SUPERCONTIG,I12647,97.56,82,1,1,1,82,1086,462,542,1152,3.00E-34,99.918
,Kapala,Colocharis,L199_MERG00099_0101_SUPERCONTIG,I12623,L199_MERG00097_0101_SUPERCONTIG,I12647,98.70,77,1,0,347,423,1086,1,77,1152,1.00E-33,99.923
,Neolosbanus,Eretmocerus,L199_MERG00100_0101_SUPERCONTIG,I8140,L199_MERG00051_0101_SUPERCONTIG,I8131,99.18,485,4,0,233,717,871,1,485,485,0.0,99.515
,nr Bofuria,Colotrechnus,L199_MERG00264_0101_SUPERCONTIG,I24041,L199_MERG00266_0101_SUPERCONTIG,I21681,95.21,647,30,1,235,880,880,797,1443,1763,0.0,99.353
,Colotrechnus,nr Bofuria,L199_MERG00266_0101_SUPERCONTIG,I21681,L199_MERG00264_0101_SUPERCONTIG,I24041,95.21,647,30,1,797,1443,1763,235,880,880,0.0,99.353
,Keirana,Agamerion,L199_MERG00299_0101_SUPERCONTIG,I27453,L199_MERG00240_0101_SUPERCONTIG,I26466,95.58,294,13,0,197,490,702,540,833,1231,2.00E-134,99.706
,Aeschylia,Brachyscelidiphaga,L199_MERG00310_0101_SUPERCONTIG,I26443,L199_MERG00314_0101_SUPERCONTIG,I27454,99.27,817,6,0,84,900,1038,1,817,817,0.0,99.183
,Brachyscelidiphaga,Aeschylia,L199_MERG00314_0101_SUPERCONTIG,I27454,L199_MERG00310_0101_SUPERCONTIG,I26443,99.27,817,6,0,1,817,817,84,900,1038,0.0,99.183
,Marlattiella,Calymmochilus,L19_MERG00021_0101_SUPERCONTIG,I27419,L19_MERG00147_0101_SUPERCONTIG,I27446,95.33,214,10,0,1,214,934,64,277,813,6.00E-95,99.786
,Ablerus,Epistenia,L19_MERG00054_0101_SUPERCONTIG,I26415,L19_MERG00246_0101_SUPERCONTIG,I23214,97.48,119,3,0,1,119,305,495,613,1159,2.00E-54,99.881
,Colocharis,Kapala,L19_MERG00097_0101_SUPERCONTIG,I12647,L19_MERG00099_0101_SUPERCONTIG,I12623,95.64,1032,44,1,240,1270,1350,2,1033,1330,0.0,98.968
,Colocharis,Kapala,L19_MERG00097_0101_SUPERCONTIG,I12647,L19_MERG00099_0101_SUPERCONTIG,I12623,100.00,77,0,0,1274,1350,1350,713,789,1330,3.00E-35,99.923
,Kapala,Colocharis,L19_MERG00099_0101_SUPERCONTIG,I12623,L19_MERG00097_0101_SUPERCONTIG,I12647,95.64,1032,44,1,2,1033,1330,240,1270,1350,0.0,98.968
,Kapala,Colocharis,L19_MERG00099_0101_SUPERCONTIG,I12623,L19_MERG00097_0101_SUPERCONTIG,I12647,100.00,77,0,0,713,789,1330,1274,1350,1350,2.00E-35,99.923
,Closterocerus,Moranila,L19_MERG00114_0101_SUPERCONTIG,I27398,L19_MERG00287_0101_SUPERCONTIG,I27443,95.50,111,5,0,4,114,352,418,528,800,2.00E-46,99.889
,Bootanelleus,Bootanomyia,L19_MERG00179_0101_SUPERCONTIG,I26432,L19_MERG00181_0101_SUPERCONTIG,I26440,95.94,271,11,0,3,273,1106,56,326,1152,7.00E-125,99.729
,Aeschylia,Brachyscelidiphaga,L19_MERG00310_0101_SUPERCONTIG,I26443,L19_MERG00314_0101_SUPERCONTIG,I27454,98.61,717,6,3,186,901,966,1,714,714,0.0,99.283
,Brachyscelidiphaga,Aeschylia,L19_MERG00314_0101_SUPERCONTIG,I27454,L19_MERG00310_0101_SUPERCONTIG,I26443,98.61,717,6,3,1,714,714,186,901,966,0.0,99.283
,Macroglenes,Petipirene,L19_MERG00327_0101_SUPERCONTIG,I21917,L19_MERG00331_0101_SUPERCONTIG,I24036,95.97,248,9,1,85,332,615,115,361,623,2.00E-113,99.752
,Petipirene,Macroglenes,L19_MERG00331_0101_SUPERCONTIG,I24036,L19_MERG00327_0101_SUPERCONTIG,I21917,95.97,248,9,1,115,361,623,85,332,615,2.00E-113,99.752
,Ogloblinisca,Plutothrix,L19_MERG00338_0101_SUPERCONTIG,I8168,L19_MERG00341_0101_SUPERCONTIG,I21925,97.22,216,6,0,250,465,731,340,555,932,7.00E-103,99.784
,Plutothrix,Ogloblinisca,L19_MERG00341_0101_SUPERCONTIG,I21925,L19_MERG00338_0101_SUPERCONTIG,I8168,97.22,216,6,0,340,555,932,250,465,731,9.00E-103,99.784
,Tanaostigma,Tanaostigmodes,L19_MERG00362_0101_SUPERCONTIG,I8171,L19_MERG00363_0101_SUPERCONTIG,I23223,100.00,816,0,0,1,816,816,217,1032,1103,0.0,99.184
,Tanaostigmodes,Tanaostigma,L19_MERG00363_0101_SUPERCONTIG,I23223,L19_MERG00362_0101_SUPERCONTIG,I8171,100.00,816,0,0,217,1032,1103,1,816,816,0.0,99.184
,Aiolomorphus,Tetramesa,L1_MERG00161_0101_SUPERCONTIG,I21923,L1_MERG00169_0101_SUPERCONTIG,I21916,95.82,502,20,1,281,781,939,217,718,776,0.0,99.498
,Tetramesa,Aiolomorphus,L1_MERG00169_0101_SUPERCONTIG,I21916,L1_MERG00161_0101_SUPERCONTIG,I21923,95.82,502,20,1,217,718,776,281,781,939,0.0,99.498
,Nepistenia,Proshizonotus,L1_MERG00250_0101_SUPERCONTIG,I27452,L1_MERG00254_0101_SUPERCONTIG,I23215,95.34,451,21,0,271,721,998,396,846,1221,0.0,99.549
,Proshizonotus,Nepistenia,L1_MERG00254_0101_SUPERCONTIG,I23215,L1_MERG00250_0101_SUPERCONTIG,I27452,95.34,451,21,0,396,846,1221,271,721,998,0.0,99.549
,Solenura,Notanisus,L1_MERG00255_0101_SUPERCONTIG,I27397,L1_MERG00251_0101_SUPERCONTIG,I29011,95.16,434,21,0,282,715,932,39,472,641,0.0,99.566
,Lanthanomyia,Erotolepsia,L1_MERG00259_0101_SUPERCONTIG,I24040,L1_MERG00280_0101_SUPERCONTIG,I21957,95.23,440,21,0,251,690,983,390,829,1140,0.0,99.56
,Hetreulophus,Adontomerus,L1_MERG00267_0101_SUPERCONTIG,I23226,L1_MERG00375_0101_SUPERCONTIG,I29034,95.37,432,20,0,396,827,1171,463,894,1155,0.0,99.568
,Neapterolelaps,Notanisus,L1_MERG00272_0101_SUPERCONTIG,I24023,L1_MERG00251_0101_SUPERCONTIG,I29011,95.18,436,21,0,270,705,997,37,472,641,0.0,99.564
,Erotolepsia,Papuopsia,L1_MERG00280_0101_SUPERCONTIG,I21957,L1_MERG00281_0101_SUPERCONTIG,I26379,95.87,436,18,0,392,827,1140,410,845,1245,0.0,99.564
,Papuopsia,Erotolepsia,L1_MERG00281_0101_SUPERCONTIG,I26379,L1_MERG00280_0101_SUPERCONTIG,I21957,95.87,436,18,0,410,845,1245,392,827,1140,0.0,99.564
,Aditrochus,Plastobelyta,L1_MERG00309_0101_SUPERCONTIG,I21665,L1_MERG00319_0101_SUPERCONTIG,I27434,95.46,441,20,0,73,513,937,170,610,860,0.0,99.559
,Aeschylia,Brachyscelidiphaga,L1_MERG00310_0101_SUPERCONTIG,I26443,L1_MERG00314_0101_SUPERCONTIG,I27454,98.72,939,11,1,151,1088,1162,1,939,939,0.0,99.061
,Brachyscelidiphaga,Aeschylia,L1_MERG00314_0101_SUPERCONTIG,I27454,L1_MERG00310_0101_SUPERCONTIG,I26443,98.72,939,11,1,1,939,939,151,1088,1162,0.0,99.061
,Ormocerus,Adontomerus,L1_MERG00318_0101_SUPERCONTIG,I24033,L1_MERG00375_0101_SUPERCONTIG,I29034,95.16,434,21,0,245,678,961,462,895,1155,0.0,99.566
,Plastobelyta,Aditrochus,L1_MERG00319_0101_SUPERCONTIG,I27434,L1_MERG00309_0101_SUPERCONTIG,I21665,95.46,441,20,0,170,610,860,73,513,937,0.0,99.559
,Clytina,Aprostocetus,L1_MERG00357_0101_SUPERCONTIG,I26412,L1_MERG00135_0101_SUPERCONTIG,I23999,95.10,143,7,0,503,645,645,801,943,991,1.00E-60,99.857
,Kapala,Colocharis,L200_MERG00099_0101_SUPERCONTIG,I12623,L200_MERG00097_0101_SUPERCONTIG,I12647,96.96,362,10,1,2,362,362,503,864,1189,2.00E-175,99.638
,Zaischnopsis,Anastatus,L200_MERG00152_0101_SUPERCONTIG,I24011,L200_MERG00145_0101_SUPERCONTIG,I21958,95.23,482,22,1,209,689,689,338,819,1077,0.0,99.518
,Eurytoma,Masneroma,L200_MERG00165_0101_SUPERCONTIG,I8160,L200_MERG00166_0101_SUPERCONTIG,I24015,96.32,625,19,3,47,667,667,3,627,731,0.0,99.375
,Masneroma,Eurytoma,L200_MERG00166_0101_SUPERCONTIG,I24015,L200_MERG00165_0101_SUPERCONTIG,I8160,96.32,625,19,3,3,627,731,47,667,667,0.0,99.375
,Tetramesa,Aiolomorphus,L200_MERG00169_0101_SUPERCONTIG,I21916,L200_MERG00161_0101_SUPERCONTIG,I21923,95.06,526,23,2,1,523,523,87,612,994,0.0,99.474
,Parepistenia,Proshizonotus,L200_MERG00253_0101_SUPERCONTIG,I27418,L200_MERG00254_0101_SUPERCONTIG,I23215,95.60,523,23,0,259,781,781,513,1035,1253,0.0,99.477
,Lelapsomorpha,Ormyromorpha,L200_MERG00260_0101_SUPERCONTIG,I23212,L200_MERG00261_0101_SUPERCONTIG,I21946,95.51,780,33,2,395,1173,1173,501,1279,1285,0.0,99.22
,Ormyromorpha,Lelapsomorpha,L200_MERG00261_0101_SUPERCONTIG,I21946,L200_MERG00260_0101_SUPERCONTIG,I23212,95.51,780,33,2,501,1279,1285,395,1173,1173,0.0,99.22
,Hetreulophus,Omphalodipara,L200_MERG00267_0101_SUPERCONTIG,I23226,L200_MERG00268_0101_SUPERCONTIG,I28973,95.54,605,24,3,363,966,966,316,918,988,0.0,99.395
,Omphalodipara,Hetreulophus,L200_MERG00268_0101_SUPERCONTIG,I28973,L200_MERG00267_0101_SUPERCONTIG,I23226,95.54,605,24,3,316,918,988,363,966,966,0.0,99.395
,Aeschylia,Brachyscelidiphaga,L200_MERG00310_0101_SUPERCONTIG,I26443,L200_MERG00314_0101_SUPERCONTIG,I27454,99.59,729,3,0,178,906,1254,1,729,729,0.0,99.271
,Brachyscelidiphaga,Aeschylia,L200_MERG00314_0101_SUPERCONTIG,I27454,L200_MERG00310_0101_SUPERCONTIG,I26443,99.59,729,3,0,1,729,729,178,906,1254,0.0,99.271
,Ogloblinisca,Plutothrix,L200_MERG00338_0101_SUPERCONTIG,I8168,L200_MERG00341_0101_SUPERCONTIG,I21925,96.42,363,13,0,254,616,616,534,896,1133,5.00E-173,99.637
,Cyrtogaster,Halticoptera,L200_MERG00344_0101_SUPERCONTIG,I21918,L200_MERG00335_0101_SUPERCONTIG,I21913,95.82,407,16,1,291,697,697,256,661,711,0.0,99.593
,Eurytoma,Masneroma,L201_MERG00165_0101_SUPERCONTIG,I8160,L201_MERG00166_0101_SUPERCONTIG,I24015,96.07,534,16,3,1,530,530,107,639,935,0.0,99.466
,Omphalodipara,Zeala,L202_MERG00268_0101_SUPERCONTIG,I28973,L202_MERG00269_0101_SUPERCONTIG,I27457,95.42,720,31,2,60,779,779,1,718,763,0.0,99.28
,Zeala,Omphalodipara,L202_MERG00269_0101_SUPERCONTIG,I27457,L202_MERG00268_0101_SUPERCONTIG,I28973,95.42,720,31,2,1,718,763,60,779,779,0.0,99.28
,Aeschylia,Brachyscelidiphaga,L202_MERG00310_0101_SUPERCONTIG,I26443,L202_MERG00314_0101_SUPERCONTIG,I27454,98.77,405,5,0,172,576,745,1,405,405,0.0,99.595
,Brachyscelidiphaga,Aeschylia,L202_MERG00314_0101_SUPERCONTIG,I27454,L202_MERG00310_0101_SUPERCONTIG,I26443,98.77,405,5,0,1,405,405,172,576,745,0.0,99.595
,Colocharis,Kapala,L203_MERG00097_0101_SUPERCONTIG,I12647,L203_MERG00099_0101_SUPERCONTIG,I12623,95.45,659,30,0,1,659,877,134,792,792,0.0,99.341
,Kapala,Colocharis,L203_MERG00099_0101_SUPERCONTIG,I12623,L203_MERG00097_0101_SUPERCONTIG,I12647,95.45,659,30,0,134,792,792,1,659,877,0.0,99.341
,Tetramesa,Aiolomorphus,L203_MERG00169_0101_SUPERCONTIG,I21916,L203_MERG00161_0101_SUPERCONTIG,I21923,95.11,695,26,4,1,692,692,38,727,816,0.0,99.305
,Aeschylia,Brachyscelidiphaga,L203_MERG00310_0101_SUPERCONTIG,I26443,L203_MERG00314_0101_SUPERCONTIG,I27454,99.85,671,1,0,1,671,968,42,712,712,0.0,99.329
,Brachyscelidiphaga,Aeschylia,L203_MERG00314_0101_SUPERCONTIG,I27454,L203_MERG00310_0101_SUPERCONTIG,I26443,99.85,671,1,0,42,712,712,1,671,968,0.0,99.329
,Neochrysocharis,Rotoita,L204_MERG00113_0101_SUPERCONTIG,I27408,L204_MERG00354_0101_SUPERCONTIG,I27368,100.00,349,0,0,1,349,349,85,433,499,0.0,99.651
,Aeschylia,Brachyscelidiphaga,L204_MERG00310_0101_SUPERCONTIG,I26443,L204_MERG00314_0101_SUPERCONTIG,I27454,100.00,728,0,0,39,766,836,1,728,728,0.0,99.272
,Brachyscelidiphaga,Aeschylia,L204_MERG00314_0101_SUPERCONTIG,I27454,L204_MERG00310_0101_SUPERCONTIG,I26443,100.00,728,0,0,1,728,728,39,766,836,0.0,99.272
,Rotoita,Neochrysocharis,L204_MERG00354_0101_SUPERCONTIG,I27368,L204_MERG00113_0101_SUPERCONTIG,I27408,100.00,349,0,0,85,433,499,1,349,349,0.0,99.651
,Aeschylia,Brachyscelidiphaga,L205_MERG00310_0101_SUPERCONTIG,I26443,L205_MERG00314_0101_SUPERCONTIG,I27454,100.00,699,0,0,277,975,1112,1,699,699,0.0,99.301
,Brachyscelidiphaga,Aeschylia,L205_MERG00314_0101_SUPERCONTIG,I27454,L205_MERG00310_0101_SUPERCONTIG,I26443,100.00,699,0,0,1,699,699,277,975,1112,0.0,99.301
,Diaspiniphagus,New Genus,L206_MERG00035_0101_SUPERCONTIG,I29026,L206_MERG00046_0101_SUPERCONTIG,I29022,97.48,119,3,0,120,238,618,51,169,603,4.00E-54,99.881
,Melanosmicra,Orasema,L206_MERG00062_0101_SUPERCONTIG,I21662,L206_MERG00108_0101_SUPERCONTIG,I21723,95.20,479,22,1,1,479,479,155,632,1020,0.0,99.521
,Orasema,Melanosmicra,L206_MERG00108_0101_SUPERCONTIG,I21723,L206_MERG00062_0101_SUPERCONTIG,I21662,95.20,479,22,1,155,632,1020,1,479,479,0.0,99.521
